177
2.53073 inf
2.54818 inf
2.56563 inf
2.58309 inf
2.60054 inf
2.61799 inf
2.63545 inf
2.6529 inf
2.67035 inf
2.68781 inf
2.70526 inf
2.72271 inf
2.74017 inf
2.75762 inf
2.77507 inf
2.79253 inf
2.80998 inf
2.82743 inf
2.84489 inf
2.86234 inf
2.87979 inf
2.89725 inf
2.9147 inf
2.93215 inf
2.94961 inf
2.96706 inf
2.98451 inf
3.00197 inf
3.01942 inf
3.03687 inf
3.05433 inf
3.07178 inf
3.08923 inf
3.10669 inf
3.12414 inf
15 7.97
0.457882 inf inf
0.543496 inf inf
0.724465 inf inf
0.88971 inf inf
1.06455 inf inf
1.23026 inf inf
1.33636 inf inf
1.42245 inf inf
1.59662 inf inf
1.76057 inf inf
1.92339 inf inf
2.1108 inf inf
2.27794 inf inf
2.44566 inf inf
2.6192 inf inf
177
0.0523599 inf
0.0698132 inf
0.0872665 inf
0.10472 inf
0.122173 inf
0.139626 inf
0.15708 inf
0.174533 inf
0.191986 inf
0.20944 inf
0.226893 inf
0.244346 inf
0.261799 inf
0.279253 inf
0.296706 inf
0.314159 inf
0.331613 inf
0.349066 inf
0.366519 inf
0.383972 inf
0.401426 inf
0.418879 inf
0.436332 inf
0.453786 inf
0.471239 inf
0.488692 inf
0.506145 inf
0.523599 inf
0.541052 inf
0.558505 inf
0.575959 inf
0.593412 inf
0.610865 inf
0.628319 inf
0.645772 inf
0.663225 inf
0.680678 inf
0.698132 inf
0.715585 inf
0.733038 inf
0.750492 inf
0.767945 inf
0.785398 inf
0.802851 inf
0.820305 inf
0.837758 inf
0.855211 inf
0.872665 inf
0.890118 inf
0.907571 inf
0.925025 inf
0.942478 inf
0.959931 inf
0.977384 inf
0.994838 inf
1.01229 inf
1.02974 inf
1.0472 inf
1.06465 inf
1.0821 inf
1.09956 inf
1.11701 inf
1.13446 inf
1.15192 inf
1.16937 inf
1.18682 inf
1.20428 inf
1.22173 inf
1.23918 inf
1.25664 inf
1.27409 inf
1.29154 inf
1.309 inf
1.32645 inf
1.3439 inf
1.36136 inf
1.37881 inf
1.39626 inf
1.41372 inf
1.43117 inf
1.44862 inf
1.46608 inf
1.48353 inf
1.50098 inf
1.51844 inf
1.53589 inf
1.55334 inf
1.5708 inf
1.58825 inf
1.6057 inf
1.62316 inf
1.64061 inf
1.65806 inf
1.67552 inf
1.69297 inf
1.71042 inf
1.72788 inf
1.74533 inf
1.76278 inf
1.78024 inf
1.79769 inf
1.81514 inf
1.8326 inf
1.85005 inf
1.8675 inf
1.88496 inf
1.90241 inf
1.91986 inf
1.93732 inf
1.95477 inf
1.97222 inf
1.98968 inf
2.00713 inf
2.02458 inf
2.04204 inf
2.05949 inf
2.07694 inf
2.0944 inf
2.11185 inf
2.1293 inf
2.14675 inf
2.16421 inf
2.18166 inf
2.19911 inf
2.21657 inf
2.23402 inf
2.25147 inf
2.26893 inf
2.28638 inf
2.30383 inf
2.32129 inf
2.33874 inf
2.35619 inf
2.37365 inf
2.3911 inf
2.40855 inf
2.42601 inf
2.44346 inf
2.46091 inf
2.47837 inf
2.49582 inf
2.51327 inf
2.53073 inf
2.54818 inf
2.56563 inf
2.58309 inf
2.60054 inf
2.61799 inf
2.63545 inf
2.6529 inf
2.67035 inf
2.68781 inf
2.70526 inf
2.72271 inf
2.74017 inf
2.75762 inf
2.77507 inf
2.79253 inf
2.80998 inf
2.82743 inf
2.84489 inf
2.86234 inf
2.87979 inf
2.89725 inf
2.9147 inf
2.93215 inf
2.94961 inf
2.96706 inf
2.98451 inf
3.00197 inf
3.01942 inf
3.03687 inf
3.05433 inf
3.07178 inf
3.08923 inf
3.10669 inf
3.12414 inf
23 11.9
0.622733 inf inf
0.711571 inf inf
0.800059 inf inf
0.888547 inf inf
0.977035 inf inf
1.06517 inf inf
1.15331 inf inf
1.24128 inf inf
1.32907 inf inf
1.41686 inf inf
1.5043 inf inf
1.59157 inf inf
1.67883 inf inf
1.76592 inf inf
1.85267 inf inf
1.93941 inf inf
2.02598 inf inf
2.11237 inf inf
2.19877 inf inf
2.28481 inf inf
2.37086 inf inf
2.4569 inf inf
2.49128 inf inf
177
0.0523599 inf
0.0698132 inf
0.0872665 inf
0.10472 inf
0.122173 inf
0.139626 inf
0.15708 inf
0.174533 inf
0.191986 inf
0.20944 inf
0.226893 inf
0.244346 inf
0.261799 inf
0.279253 inf
0.296706 inf
0.314159 inf
0.331613 inf
0.349066 inf
0.366519 inf
0.383972 inf
0.401426 inf
0.418879 inf
0.436332 inf
0.453786 inf
0.471239 inf
0.488692 inf
0.506145 inf
0.523599 inf
0.541052 inf
0.558505 inf
0.575959 inf
0.593412 inf
0.610865 inf
0.628319 inf
0.645772 inf
0.663225 inf
0.680678 inf
0.698132 inf
0.715585 inf
0.733038 inf
0.750492 inf
0.767945 inf
0.785398 inf
0.802851 inf
0.820305 inf
0.837758 inf
0.855211 inf
0.872665 inf
0.890118 inf
0.907571 inf
0.925025 inf
0.942478 inf
0.959931 inf
0.977384 inf
0.994838 inf
1.01229 inf
1.02974 inf
1.0472 inf
1.06465 inf
1.0821 inf
1.09956 inf
1.11701 inf
1.13446 inf
1.15192 inf
1.16937 inf
1.18682 inf
1.20428 inf
1.22173 inf
1.23918 inf
1.25664 inf
1.27409 inf
1.29154 inf
1.309 inf
1.32645 inf
1.3439 inf
1.36136 inf
1.37881 inf
1.39626 inf
1.41372 inf
1.43117 inf
1.44862 inf
1.46608 inf
1.48353 inf
1.50098 inf
1.51844 inf
1.53589 inf
1.55334 inf
1.5708 inf
1.58825 inf
1.6057 inf
1.62316 inf
1.64061 inf
1.65806 inf
1.67552 inf
1.69297 inf
1.71042 inf
1.72788 inf
1.74533 inf
1.76278 inf
1.78024 inf
1.79769 inf
1.81514 inf
1.8326 inf
1.85005 inf
1.8675 inf
1.88496 inf
1.90241 inf
1.91986 inf
1.93732 inf
1.95477 inf
1.97222 inf
1.98968 inf
2.00713 inf
2.02458 inf
2.04204 inf
2.05949 inf
2.07694 inf
2.0944 inf
2.11185 inf
2.1293 inf
2.14675 inf
2.16421 inf
2.18166 inf
2.19911 inf
2.21657 inf
2.23402 inf
2.25147 inf
2.26893 inf
2.28638 inf
2.30383 inf
2.32129 inf
2.33874 inf
2.35619 inf
2.37365 inf
2.3911 inf
2.40855 inf
2.42601 inf
2.44346 inf
2.46091 inf
2.47837 inf
2.49582 inf
2.51327 inf
2.53073 inf
2.54818 inf
2.56563 inf
2.58309 inf
2.60054 inf
2.61799 inf
2.63545 inf
2.6529 inf
2.67035 inf
2.68781 inf
2.70526 inf
2.72271 inf
2.74017 inf
2.75762 inf
2.77507 inf
2.79253 inf
2.80998 inf
2.82743 inf
2.84489 inf
2.86234 inf
2.87979 inf
2.89725 inf
2.9147 inf
2.93215 inf
2.94961 inf
2.96706 inf
2.98451 inf
3.00197 inf
3.01942 inf
3.03687 inf
3.05433 inf
3.07178 inf
3.08923 inf
3.10669 inf
3.12414 inf
22 16.8
0.622733 inf inf
0.711571 inf inf
0.800059 inf inf
0.888547 inf inf
1.06517 inf inf
1.15331 inf inf
1.24128 inf inf
1.32907 inf inf
1.41686 inf inf
1.5043 inf inf
1.59157 inf inf
1.67883 inf inf
1.76592 inf inf
1.85267 inf inf
1.93941 inf inf
2.02598 inf inf
2.11237 inf inf
2.19877 inf inf
2.28481 inf inf
2.37086 inf inf
2.4569 inf inf
2.50839 inf inf
